AgeGroup,Date,Country,Female,Male,Total,Date2
90+,17/05/2021,England,5,0,5,2021-05-17
90+,18/05/2021,England,8,0,8,2021-05-18
90+,19/05/2021,England,1,2,3,2021-05-19
90+,20/05/2021,England,2,4,6,2021-05-20
90+,21/05/2021,England,3,0,3,2021-05-21
90+,22/05/2021,England,3,1,4,2021-05-22
90+,23/05/2021,England,2,1,3,2021-05-23
90+,24/05/2021,England,3,1,4,2021-05-24
90+,25/05/2021,England,3,1,4,2021-05-25
90+,26/05/2021,England,1,3,4,2021-05-26
90+,27/05/2021,England,0,1,1,2021-05-27
90+,28/05/2021,England,2,1,3,2021-05-28
90+,29/05/2021,England,2,1,3,2021-05-29
90+,30/05/2021,England,2,1,3,2021-05-30
90+,31/05/2021,England,1,2,3,2021-05-31
90+,01/06/2021,England,8,1,9,2021-06-01
90+,02/06/2021,England,6,2,8,2021-06-02
90+,03/06/2021,England,3,2,5,2021-06-03
90+,04/06/2021,England,0,1,1,2021-06-04
90+,05/06/2021,England,2,1,3,2021-06-05
90+,06/06/2021,England,4,1,5,2021-06-06
90+,07/06/2021,England,2,3,5,2021-06-07
90+,08/06/2021,England,7,3,10,2021-06-08
90+,09/06/2021,England,12,5,17,2021-06-09
90+,10/06/2021,England,8,3,11,2021-06-10
90+,11/06/2021,England,4,2,6,2021-06-11
90+,12/06/2021,England,5,0,5,2021-06-12
90+,13/06/2021,England,3,3,6,2021-06-13
90+,14/06/2021,England,7,6,13,2021-06-14
90+,15/06/2021,England,3,11,14,2021-06-15
90+,16/06/2021,England,9,5,14,2021-06-16
90+,17/06/2021,England,9,4,13,2021-06-17
90+,18/06/2021,England,10,7,17,2021-06-18
90+,19/06/2021,England,6,3,9,2021-06-19
90+,20/06/2021,England,2,2,4,2021-06-20
90+,21/06/2021,England,9,1,10,2021-06-21
90+,22/06/2021,England,10,1,11,2021-06-22
90+,23/06/2021,England,7,3,10,2021-06-23
90+,24/06/2021,England,10,5,15,2021-06-24
90+,25/06/2021,England,7,2,9,2021-06-25
90+,26/06/2021,England,4,4,8,2021-06-26
90+,27/06/2021,England,14,6,20,2021-06-27
90+,28/06/2021,England,16,4,20,2021-06-28
90+,29/06/2021,England,18,9,27,2021-06-29
90+,30/06/2021,England,22,8,30,2021-06-30
90+,01/07/2021,England,18,4,22,2021-07-01
90+,02/07/2021,England,20,7,27,2021-07-02
90+,03/07/2021,England,12,11,23,2021-07-03
90+,04/07/2021,England,11,5,16,2021-07-04
90+,05/07/2021,England,15,14,29,2021-07-05
90+,06/07/2021,England,32,15,47,2021-07-06
90+,07/07/2021,England,22,17,39,2021-07-07
90+,08/07/2021,England,14,14,28,2021-07-08
90+,09/07/2021,England,26,16,42,2021-07-09
90+,10/07/2021,England,25,2,27,2021-07-10
90+,11/07/2021,England,11,9,20,2021-07-11
90+,12/07/2021,England,32,15,47,2021-07-12
90+,13/07/2021,England,35,19,54,2021-07-13
90+,14/07/2021,England,25,23,48,2021-07-14
90+,15/07/2021,England,38,12,50,2021-07-15
90+,16/07/2021,England,31,27,58,2021-07-16
90+,17/07/2021,England,35,19,54,2021-07-17
90+,18/07/2021,England,36,18,54,2021-07-18
90+,19/07/2021,England,52,20,72,2021-07-19
90+,20/07/2021,England,49,17,66,2021-07-20
90+,21/07/2021,England,27,16,43,2021-07-21
90+,22/07/2021,England,30,15,45,2021-07-22
90+,23/07/2021,England,41,22,63,2021-07-23
90+,24/07/2021,England,25,21,46,2021-07-24
90+,25/07/2021,England,24,11,35,2021-07-25
90+,26/07/2021,England,47,26,73,2021-07-26
90+,27/07/2021,England,39,10,49,2021-07-27
90+,28/07/2021,England,35,16,51,2021-07-28
90+,29/07/2021,England,36,13,49,2021-07-29
90+,30/07/2021,England,56,18,74,2021-07-30
90+,31/07/2021,England,33,17,50,2021-07-31
90+,01/08/2021,England,27,22,49,2021-08-01
90+,02/08/2021,England,51,23,74,2021-08-02
90+,03/08/2021,England,45,25,70,2021-08-03
90+,04/08/2021,England,43,20,63,2021-08-04
90+,05/08/2021,England,33,23,56,2021-08-05
90+,06/08/2021,England,49,23,72,2021-08-06
90+,07/08/2021,England,23,13,36,2021-08-07
0 to 9,01/05/2021,France,115,133,253,2021-05-01
10 to 19,01/05/2021,France,269,248,526,2021-05-01
20 to 29,01/05/2021,France,397,338,738,2021-05-01
30 to 39,01/05/2021,France,363,319,685,2021-05-01
40 to 49,01/05/2021,France,322,285,610,2021-05-01
50  to 59,01/05/2021,France,253,264,517,2021-05-01
60 to 69,01/05/2021,France,151,138,289,2021-05-01
70 to 79,01/05/2021,France,88,89,177,2021-05-01
80 to 89,01/05/2021,France,76,57,133,2021-05-01
90+,01/05/2021,France,47,19,66,2021-05-01
0 to 9,02/05/2021,France,129,112,243,2021-05-02
10 to 19,02/05/2021,France,239,206,450,2021-05-02
20 to 29,02/05/2021,France,314,296,619,2021-05-02
30 to 39,02/05/2021,France,327,272,600,2021-05-02
40 to 49,02/05/2021,France,252,274,528,2021-05-02
50  to 59,02/05/2021,France,216,239,459,2021-05-02
60 to 69,02/05/2021,France,112,149,261,2021-05-02
70 to 79,02/05/2021,France,92,87,179,2021-05-02
80 to 89,02/05/2021,France,94,55,149,2021-05-02
90+,02/05/2021,France,54,17,71,2021-05-02
0 to 9,03/05/2021,France,1014,1154,2217,2021-05-03
10 to 19,03/05/2021,France,2118,2148,4334,2021-05-03
20 to 29,03/05/2021,France,2353,2266,4642,2021-05-03
30 to 39,03/05/2021,France,2514,2152,4686,2021-05-03
40 to 49,03/05/2021,France,2447,2139,4608,2021-05-03
50  to 59,03/05/2021,France,2049,1959,4020,2021-05-03
60 to 69,03/05/2021,France,1245,1117,2371,2021-05-03
70 to 79,03/05/2021,France,585,558,1145,2021-05-03
80 to 89,03/05/2021,France,383,254,639,2021-05-03
90+,03/05/2021,France,196,65,261,2021-05-03
0 to 9,04/05/2021,France,806,867,1727,2021-05-04
10 to 19,04/05/2021,France,1506,1536,3099,2021-05-04
20 to 29,04/05/2021,France,1794,1652,3463,2021-05-04
30 to 39,04/05/2021,France,1694,1525,3234,2021-05-04
40 to 49,04/05/2021,France,1630,1339,2983,2021-05-04
50  to 59,04/05/2021,France,1367,1197,2571,2021-05-04
60 to 69,04/05/2021,France,826,760,1590,2021-05-04
70 to 79,04/05/2021,France,424,375,803,2021-05-04
80 to 89,04/05/2021,France,291,201,493,2021-05-04
90+,04/05/2021,France,176,66,242,2021-05-04
0 to 9,05/05/2021,France,668,759,1471,2021-05-05
10 to 19,05/05/2021,France,1459,1370,2879,2021-05-05
20 to 29,05/05/2021,France,1589,1448,3052,2021-05-05
30 to 39,05/05/2021,France,1564,1374,2954,2021-05-05
40 to 49,05/05/2021,France,1379,1135,2522,2021-05-05
50  to 59,05/05/2021,France,1181,1004,2198,2021-05-05
60 to 69,05/05/2021,France,696,631,1332,2021-05-05
70 to 79,05/05/2021,France,317,326,647,2021-05-05
80 to 89,05/05/2021,France,241,147,389,2021-05-05
90+,05/05/2021,France,138,49,187,2021-05-05
0 to 9,06/05/2021,France,766,792,1599,2021-05-06
10 to 19,06/05/2021,France,1311,1375,2720,2021-05-06
20 to 29,06/05/2021,France,1462,1490,2967,2021-05-06
30 to 39,06/05/2021,France,1464,1322,2805,2021-05-06
40 to 49,06/05/2021,France,1331,1195,2533,2021-05-06
50  to 59,06/05/2021,France,1099,1101,2210,2021-05-06
60 to 69,06/05/2021,France,627,538,1169,2021-05-06
70 to 79,06/05/2021,France,308,293,602,2021-05-06
80 to 89,06/05/2021,France,223,130,354,2021-05-06
90+,06/05/2021,France,135,49,184,2021-05-06
0 to 9,07/05/2021,France,869,1000,1924,2021-05-07
10 to 19,07/05/2021,France,1474,1454,2982,2021-05-07
20 to 29,07/05/2021,France,1477,1476,2977,2021-05-07
30 to 39,07/05/2021,France,1580,1351,2944,2021-05-07
40 to 49,07/05/2021,France,1419,1242,2673,2021-05-07
50  to 59,07/05/2021,France,1127,1038,2173,2021-05-07
60 to 69,07/05/2021,France,698,614,1316,2021-05-07
70 to 79,07/05/2021,France,338,307,647,2021-05-07
80 to 89,07/05/2021,France,232,135,368,2021-05-07
90+,07/05/2021,France,111,43,154,2021-05-07
0 to 9,08/05/2021,France,170,184,362,2021-05-08
10 to 19,08/05/2021,France,263,238,507,2021-05-08
20 to 29,08/05/2021,France,373,297,678,2021-05-08
30 to 39,08/05/2021,France,418,357,780,2021-05-08
40 to 49,08/05/2021,France,310,323,638,2021-05-08
50  to 59,08/05/2021,France,253,249,504,2021-05-08
60 to 69,08/05/2021,France,137,131,270,2021-05-08
70 to 79,08/05/2021,France,66,81,147,2021-05-08
80 to 89,08/05/2021,France,61,34,95,2021-05-08
90+,08/05/2021,France,34,18,52,2021-05-08
0 to 9,09/05/2021,France,131,122,255,2021-05-09
10 to 19,09/05/2021,France,184,188,375,2021-05-09
20 to 29,09/05/2021,France,256,228,491,2021-05-09
30 to 39,09/05/2021,France,276,232,509,2021-05-09
40 to 49,09/05/2021,France,231,233,465,2021-05-09
50  to 59,09/05/2021,France,174,182,357,2021-05-09
60 to 69,09/05/2021,France,99,97,197,2021-05-09
70 to 79,09/05/2021,France,51,42,93,2021-05-09
80 to 89,09/05/2021,France,48,46,94,2021-05-09
90+,09/05/2021,France,32,15,47,2021-05-09
0 to 9,10/05/2021,France,1038,1105,2199,2021-05-10
10 to 19,10/05/2021,France,1719,1778,3577,2021-05-10
20 to 29,10/05/2021,France,1978,1795,3788,2021-05-10
30 to 39,10/05/2021,France,2176,1796,3985,2021-05-10
40 to 49,10/05/2021,France,2006,1737,3754,2021-05-10
50  to 59,10/05/2021,France,1687,1482,3187,2021-05-10
60 to 69,10/05/2021,France,1013,871,1888,2021-05-10
70 to 79,10/05/2021,France,415,401,819,2021-05-10
80 to 89,10/05/2021,France,308,154,462,2021-05-10
90+,10/05/2021,France,136,56,193,2021-05-10
0 to 9,11/05/2021,France,791,855,1690,2021-05-11
10 to 19,11/05/2021,France,1308,1329,2688,2021-05-11
20 to 29,11/05/2021,France,1408,1329,2750,2021-05-11
30 to 39,11/05/2021,France,1528,1225,2765,2021-05-11
40 to 49,11/05/2021,France,1377,1095,2485,2021-05-11
50  to 59,11/05/2021,France,1057,956,2020,2021-05-11
60 to 69,11/05/2021,France,608,554,1167,2021-05-11
70 to 79,11/05/2021,France,313,235,550,2021-05-11
80 to 89,11/05/2021,France,217,114,331,2021-05-11
90+,11/05/2021,France,132,47,179,2021-05-11
0 to 9,12/05/2021,France,711,726,1482,2021-05-12
10 to 19,12/05/2021,France,1314,1297,2644,2021-05-12
20 to 29,12/05/2021,France,1389,1324,2724,2021-05-12
30 to 39,12/05/2021,France,1422,1305,2744,2021-05-12
40 to 49,12/05/2021,France,1274,1130,2417,2021-05-12
50  to 59,12/05/2021,France,1010,953,1973,2021-05-12
60 to 69,12/05/2021,France,565,532,1100,2021-05-12
70 to 79,12/05/2021,France,260,239,499,2021-05-12
80 to 89,12/05/2021,France,208,110,318,2021-05-12
90+,12/05/2021,France,110,45,155,2021-05-12
0 to 9,13/05/2021,France,104,132,245,2021-05-13
10 to 19,13/05/2021,France,198,195,405,2021-05-13
20 to 29,13/05/2021,France,312,290,612,2021-05-13
30 to 39,13/05/2021,France,311,293,608,2021-05-13
40 to 49,13/05/2021,France,227,241,469,2021-05-13
50  to 59,13/05/2021,France,171,148,319,2021-05-13
60 to 69,13/05/2021,France,85,95,181,2021-05-13
70 to 79,13/05/2021,France,45,57,102,2021-05-13
80 to 89,13/05/2021,France,37,31,68,2021-05-13
90+,13/05/2021,France,30,12,42,2021-05-13
0 to 9,14/05/2021,France,819,880,1732,2021-05-14
10 to 19,14/05/2021,France,1373,1388,2805,2021-05-14
20 to 29,14/05/2021,France,1447,1393,2850,2021-05-14
30 to 39,14/05/2021,France,1627,1317,2953,2021-05-14
40 to 49,14/05/2021,France,1389,1257,2657,2021-05-14
50  to 59,14/05/2021,France,1151,1007,2167,2021-05-14
60 to 69,14/05/2021,France,649,600,1251,2021-05-14
70 to 79,14/05/2021,France,304,245,549,2021-05-14
80 to 89,14/05/2021,France,201,98,299,2021-05-14
90+,14/05/2021,France,104,41,145,2021-05-14
0 to 9,15/05/2021,France,410,420,847,2021-05-15
10 to 19,15/05/2021,France,743,754,1539,2021-05-15
20 to 29,15/05/2021,France,746,687,1440,2021-05-15
30 to 39,15/05/2021,France,821,719,1548,2021-05-15
40 to 49,15/05/2021,France,717,653,1378,2021-05-15
50  to 59,15/05/2021,France,526,536,1064,2021-05-15
60 to 69,15/05/2021,France,303,299,604,2021-05-15
70 to 79,15/05/2021,France,147,134,282,2021-05-15
80 to 89,15/05/2021,France,91,59,150,2021-05-15
90+,15/05/2021,France,47,14,61,2021-05-15
0 to 9,16/05/2021,France,95,109,209,2021-05-16
10 to 19,16/05/2021,France,149,171,325,2021-05-16
20 to 29,16/05/2021,France,214,199,417,2021-05-16
30 to 39,16/05/2021,France,211,218,432,2021-05-16
40 to 49,16/05/2021,France,176,179,355,2021-05-16
50  to 59,16/05/2021,France,130,136,267,2021-05-16
60 to 69,16/05/2021,France,68,69,138,2021-05-16
70 to 79,16/05/2021,France,33,38,71,2021-05-16
80 to 89,16/05/2021,France,34,28,62,2021-05-16
90+,16/05/2021,France,21,14,35,2021-05-16
0 to 9,17/05/2021,France,795,900,1741,2021-05-17
10 to 19,17/05/2021,France,1654,1742,3452,2021-05-17
20 to 29,17/05/2021,France,1671,1463,3154,2021-05-17
30 to 39,17/05/2021,France,1977,1575,3572,2021-05-17
40 to 49,17/05/2021,France,1654,1513,3181,2021-05-17
50  to 59,17/05/2021,France,1215,1114,2340,2021-05-17
60 to 69,17/05/2021,France,692,633,1330,2021-05-17
70 to 79,17/05/2021,France,292,295,587,2021-05-17
80 to 89,17/05/2021,France,188,111,300,2021-05-17
90+,17/05/2021,France,84,40,124,2021-05-17
0 to 9,18/05/2021,France,769,790,1612,2021-05-18
10 to 19,18/05/2021,France,1428,1509,3010,2021-05-18
20 to 29,18/05/2021,France,1365,1191,2570,2021-05-18
30 to 39,18/05/2021,France,1491,1125,2628,2021-05-18
40 to 49,18/05/2021,France,1197,1069,2277,2021-05-18
50  to 59,18/05/2021,France,869,793,1666,2021-05-18
60 to 69,18/05/2021,France,499,452,953,2021-05-18
70 to 79,18/05/2021,France,256,177,434,2021-05-18
80 to 89,18/05/2021,France,145,80,226,2021-05-18
90+,18/05/2021,France,90,29,119,2021-05-18
0 to 9,19/05/2021,France,589,592,1206,2021-05-19
10 to 19,19/05/2021,France,1311,1320,2683,2021-05-19
20 to 29,19/05/2021,France,1208,1127,2355,2021-05-19
30 to 39,19/05/2021,France,1319,1042,2367,2021-05-19
40 to 49,19/05/2021,France,1128,915,2051,2021-05-19
50  to 59,19/05/2021,France,740,693,1442,2021-05-19
60 to 69,19/05/2021,France,454,374,831,2021-05-19
70 to 79,19/05/2021,France,241,205,448,2021-05-19
80 to 89,19/05/2021,France,117,79,196,2021-05-19
90+,19/05/2021,France,67,22,90,2021-05-19
0 to 9,20/05/2021,France,595,609,1238,2021-05-20
10 to 19,20/05/2021,France,1149,1128,2326,2021-05-20
20 to 29,20/05/2021,France,1118,995,2121,2021-05-20
30 to 39,20/05/2021,France,1198,991,2205,2021-05-20
40 to 49,20/05/2021,France,999,876,1883,2021-05-20
50  to 59,20/05/2021,France,709,612,1328,2021-05-20
60 to 69,20/05/2021,France,438,363,803,2021-05-20
70 to 79,20/05/2021,France,176,184,362,2021-05-20
80 to 89,20/05/2021,France,113,80,194,2021-05-20
90+,20/05/2021,France,61,26,87,2021-05-20
0 to 9,21/05/2021,France,572,606,1215,2021-05-21
10 to 19,21/05/2021,France,1208,1150,2394,2021-05-21
20 to 29,21/05/2021,France,1170,977,2158,2021-05-21
30 to 39,21/05/2021,France,1110,886,2007,2021-05-21
40 to 49,21/05/2021,France,989,869,1868,2021-05-21
50  to 59,21/05/2021,France,722,660,1386,2021-05-21
60 to 69,21/05/2021,France,464,362,834,2021-05-21
70 to 79,21/05/2021,France,193,181,375,2021-05-21
80 to 89,21/05/2021,France,107,70,178,2021-05-21
90+,21/05/2021,France,64,19,83,2021-05-21
0 to 9,22/05/2021,France,334,339,702,2021-05-22
10 to 19,22/05/2021,France,704,672,1410,2021-05-22
20 to 29,22/05/2021,France,677,619,1301,2021-05-22
30 to 39,22/05/2021,France,710,614,1333,2021-05-22
40 to 49,22/05/2021,France,668,550,1224,2021-05-22
50  to 59,22/05/2021,France,477,438,916,2021-05-22
60 to 69,22/05/2021,France,265,228,496,2021-05-22
70 to 79,22/05/2021,France,139,111,250,2021-05-22
80 to 89,22/05/2021,France,66,44,111,2021-05-22
90+,22/05/2021,France,32,14,47,2021-05-22
0 to 9,23/05/2021,France,55,61,119,2021-05-23
10 to 19,23/05/2021,France,150,116,269,2021-05-23
20 to 29,23/05/2021,France,202,137,341,2021-05-23
30 to 39,23/05/2021,France,142,171,314,2021-05-23
40 to 49,23/05/2021,France,158,137,296,2021-05-23
50  to 59,23/05/2021,France,103,103,207,2021-05-23
60 to 69,23/05/2021,France,57,47,104,2021-05-23
70 to 79,23/05/2021,France,27,33,60,2021-05-23
80 to 89,23/05/2021,France,29,15,44,2021-05-23
90+,23/05/2021,France,16,7,23,2021-05-23
0 to 9,24/05/2021,France,126,135,263,2021-05-24
10 to 19,24/05/2021,France,281,280,567,2021-05-24
20 to 29,24/05/2021,France,333,315,654,2021-05-24
30 to 39,24/05/2021,France,383,319,704,2021-05-24
40 to 49,24/05/2021,France,283,275,562,2021-05-24
50  to 59,24/05/2021,France,173,210,385,2021-05-24
60 to 69,24/05/2021,France,91,93,184,2021-05-24
70 to 79,24/05/2021,France,43,50,93,2021-05-24
80 to 89,24/05/2021,France,33,25,58,2021-05-24
90+,24/05/2021,France,19,9,28,2021-05-24
0 to 9,25/05/2021,France,640,741,1412,2021-05-25
10 to 19,25/05/2021,France,1522,1584,3160,2021-05-25
20 to 29,25/05/2021,France,1443,1333,2788,2021-05-25
30 to 39,25/05/2021,France,1559,1269,2842,2021-05-25
40 to 49,25/05/2021,France,1358,1186,2554,2021-05-25
50  to 59,25/05/2021,France,1029,952,1984,2021-05-25
60 to 69,25/05/2021,France,553,464,1019,2021-05-25
70 to 79,25/05/2021,France,232,190,423,2021-05-25
80 to 89,25/05/2021,France,154,94,249,2021-05-25
90+,25/05/2021,France,73,22,95,2021-05-25
0 to 9,26/05/2021,France,442,524,986,2021-05-26
10 to 19,26/05/2021,France,1135,1199,2375,2021-05-26
20 to 29,26/05/2021,France,1070,1119,2198,2021-05-26
30 to 39,26/05/2021,France,1054,898,1959,2021-05-26
40 to 49,26/05/2021,France,957,843,1809,2021-05-26
50  to 59,26/05/2021,France,619,601,1226,2021-05-26
60 to 69,26/05/2021,France,372,347,722,2021-05-26
70 to 79,26/05/2021,France,174,144,320,2021-05-26
80 to 89,26/05/2021,France,108,79,187,2021-05-26
90+,26/05/2021,France,59,20,79,2021-05-26
0 to 9,27/05/2021,France,470,502,997,2021-05-27
10 to 19,27/05/2021,France,1082,1111,2228,2021-05-27
20 to 29,27/05/2021,France,1015,998,2025,2021-05-27
30 to 39,27/05/2021,France,1027,834,1869,2021-05-27
40 to 49,27/05/2021,France,866,745,1617,2021-05-27
50  to 59,27/05/2021,France,592,599,1193,2021-05-27
60 to 69,27/05/2021,France,339,306,649,2021-05-27
70 to 79,27/05/2021,France,173,139,314,2021-05-27
80 to 89,27/05/2021,France,103,70,174,2021-05-27
90+,27/05/2021,France,56,12,68,2021-05-27
0 to 9,28/05/2021,France,484,507,1009,2021-05-28
10 to 19,28/05/2021,France,1071,1145,2250,2021-05-28
20 to 29,28/05/2021,France,867,932,1808,2021-05-28
30 to 39,28/05/2021,France,892,764,1662,2021-05-28
40 to 49,28/05/2021,France,842,752,1602,2021-05-28
50  to 59,28/05/2021,France,560,562,1133,2021-05-28
60 to 69,28/05/2021,France,306,273,581,2021-05-28
70 to 79,28/05/2021,France,169,148,318,2021-05-28
80 to 89,28/05/2021,France,102,56,158,2021-05-28
90+,28/05/2021,France,59,24,84,2021-05-28
0 to 9,29/05/2021,France,264,275,554,2021-05-29
10 to 19,29/05/2021,France,616,574,1211,2021-05-29
20 to 29,29/05/2021,France,618,501,1125,2021-05-29
30 to 39,29/05/2021,France,517,496,1017,2021-05-29
40 to 49,29/05/2021,France,480,504,986,2021-05-29
50  to 59,29/05/2021,France,369,350,721,2021-05-29
60 to 69,29/05/2021,France,210,193,406,2021-05-29
70 to 79,29/05/2021,France,122,84,206,2021-05-29
80 to 89,29/05/2021,France,48,34,82,2021-05-29
90+,29/05/2021,France,21,13,34,2021-05-29
0 to 9,30/05/2021,France,50,60,111,2021-05-30
10 to 19,30/05/2021,France,131,116,249,2021-05-30
20 to 29,30/05/2021,France,133,128,266,2021-05-30
30 to 39,30/05/2021,France,136,119,257,2021-05-30
40 to 49,30/05/2021,France,138,118,257,2021-05-30
50  to 59,30/05/2021,France,85,81,168,2021-05-30
60 to 69,30/05/2021,France,38,39,77,2021-05-30
70 to 79,30/05/2021,France,22,24,46,2021-05-30
80 to 89,30/05/2021,France,25,22,47,2021-05-30
90+,30/05/2021,France,11,3,14,2021-05-30
0 to 9,31/05/2021,France,437,525,981,2021-05-31
10 to 19,31/05/2021,France,1089,1088,2208,2021-05-31
20 to 29,31/05/2021,France,1041,989,2039,2021-05-31
30 to 39,31/05/2021,France,1033,911,1952,2021-05-31
40 to 49,31/05/2021,France,950,919,1872,2021-05-31
50  to 59,31/05/2021,France,698,669,1375,2021-05-31
60 to 69,31/05/2021,France,388,378,768,2021-05-31
70 to 79,31/05/2021,France,192,136,328,2021-05-31
80 to 89,31/05/2021,France,101,72,173,2021-05-31
90+,31/05/2021,France,53,17,70,2021-05-31
0 to 9,01/06/2021,France,343,325,683,2021-06-01
10 to 19,01/06/2021,France,816,817,1647,2021-06-01
20 to 29,01/06/2021,France,688,683,1377,2021-06-01
30 to 39,01/06/2021,France,690,585,1283,2021-06-01
40 to 49,01/06/2021,France,623,538,1162,2021-06-01
50  to 59,01/06/2021,France,498,407,909,2021-06-01
60 to 69,01/06/2021,France,264,216,481,2021-06-01
70 to 79,01/06/2021,France,119,114,233,2021-06-01
80 to 89,01/06/2021,France,71,51,122,2021-06-01
90+,01/06/2021,France,42,14,56,2021-06-01
0 to 9,02/06/2021,France,295,288,597,2021-06-02
10 to 19,02/06/2021,France,784,760,1568,2021-06-02
20 to 29,02/06/2021,France,698,670,1378,2021-06-02
30 to 39,02/06/2021,France,676,565,1245,2021-06-02
40 to 49,02/06/2021,France,616,514,1136,2021-06-02
50  to 59,02/06/2021,France,430,385,819,2021-06-02
60 to 69,02/06/2021,France,229,216,446,2021-06-02
70 to 79,02/06/2021,France,119,101,221,2021-06-02
80 to 89,02/06/2021,France,89,57,146,2021-06-02
90+,02/06/2021,France,30,9,40,2021-06-02
0 to 9,03/06/2021,France,246,282,542,2021-06-03
10 to 19,03/06/2021,France,660,679,1367,2021-06-03
20 to 29,03/06/2021,France,656,669,1333,2021-06-03
30 to 39,03/06/2021,France,627,527,1158,2021-06-03
40 to 49,03/06/2021,France,553,464,1023,2021-06-03
50  to 59,03/06/2021,France,401,389,801,2021-06-03
60 to 69,03/06/2021,France,230,189,420,2021-06-03
70 to 79,03/06/2021,France,100,88,188,2021-06-03
80 to 89,03/06/2021,France,71,43,115,2021-06-03
90+,03/06/2021,France,46,12,58,2021-06-03
0 to 9,04/06/2021,France,286,311,609,2021-06-04
10 to 19,04/06/2021,France,678,735,1436,2021-06-04
20 to 29,04/06/2021,France,597,557,1162,2021-06-04
30 to 39,04/06/2021,France,561,453,1018,2021-06-04
40 to 49,04/06/2021,France,515,420,941,2021-06-04
50  to 59,04/06/2021,France,338,357,698,2021-06-04
60 to 69,04/06/2021,France,221,176,399,2021-06-04
70 to 79,04/06/2021,France,110,92,202,2021-06-04
80 to 89,04/06/2021,France,64,32,96,2021-06-04
90+,04/06/2021,France,41,14,55,2021-06-04
0 to 9,05/06/2021,France,138,163,312,2021-06-05
10 to 19,05/06/2021,France,380,347,747,2021-06-05
20 to 29,05/06/2021,France,353,352,708,2021-06-05
30 to 39,05/06/2021,France,364,309,674,2021-06-05
40 to 49,05/06/2021,France,323,295,620,2021-06-05
50  to 59,05/06/2021,France,207,201,409,2021-06-05
60 to 69,05/06/2021,France,140,103,246,2021-06-05
70 to 79,05/06/2021,France,48,77,126,2021-06-05
80 to 89,05/06/2021,France,34,45,79,2021-06-05
90+,05/06/2021,France,14,11,25,2021-06-05
0 to 9,06/06/2021,France,29,29,59,2021-06-06
10 to 19,06/06/2021,France,66,64,135,2021-06-06
20 to 29,06/06/2021,France,88,74,162,2021-06-06
30 to 39,06/06/2021,France,79,80,160,2021-06-06
40 to 49,06/06/2021,France,64,67,131,2021-06-06
50  to 59,06/06/2021,France,48,42,90,2021-06-06
60 to 69,06/06/2021,France,23,34,57,2021-06-06
70 to 79,06/06/2021,France,30,22,52,2021-06-06
80 to 89,06/06/2021,France,22,9,31,2021-06-06
90+,06/06/2021,France,16,6,22,2021-06-06
0 to 9,07/06/2021,France,242,264,516,2021-06-07
10 to 19,07/06/2021,France,679,681,1386,2021-06-07
20 to 29,07/06/2021,France,671,583,1263,2021-06-07
30 to 39,07/06/2021,France,689,552,1245,2021-06-07
40 to 49,07/06/2021,France,607,546,1159,2021-06-07
50  to 59,07/06/2021,France,421,436,863,2021-06-07
60 to 69,07/06/2021,France,249,198,449,2021-06-07
70 to 79,07/06/2021,France,132,110,242,2021-06-07
80 to 89,07/06/2021,France,67,51,119,2021-06-07
90+,07/06/2021,France,30,7,37,2021-06-07
0 to 9,08/06/2021,France,208,219,438,2021-06-08
10 to 19,08/06/2021,France,513,496,1027,2021-06-08
20 to 29,08/06/2021,France,471,458,932,2021-06-08
30 to 39,08/06/2021,France,436,341,782,2021-06-08
40 to 49,08/06/2021,France,406,341,749,2021-06-08
50  to 59,08/06/2021,France,286,254,547,2021-06-08
60 to 69,08/06/2021,France,145,129,275,2021-06-08
70 to 79,08/06/2021,France,76,66,143,2021-06-08
80 to 89,08/06/2021,France,51,34,85,2021-06-08
90+,08/06/2021,France,26,13,39,2021-06-08
0 to 9,09/06/2021,France,144,167,315,2021-06-09
10 to 19,09/06/2021,France,426,420,862,2021-06-09
20 to 29,09/06/2021,France,421,372,796,2021-06-09
30 to 39,09/06/2021,France,400,295,697,2021-06-09
40 to 49,09/06/2021,France,334,277,612,2021-06-09
50  to 59,09/06/2021,France,229,229,460,2021-06-09
60 to 69,09/06/2021,France,143,109,252,2021-06-09
70 to 79,09/06/2021,France,71,53,124,2021-06-09
80 to 89,09/06/2021,France,44,25,69,2021-06-09
90+,09/06/2021,France,23,13,36,2021-06-09
0 to 9,10/06/2021,France,142,145,295,2021-06-10
10 to 19,10/06/2021,France,378,379,778,2021-06-10
20 to 29,10/06/2021,France,345,328,677,2021-06-10
30 to 39,10/06/2021,France,363,301,667,2021-06-10
40 to 49,10/06/2021,France,294,250,545,2021-06-10
50  to 59,10/06/2021,France,203,190,395,2021-06-10
60 to 69,10/06/2021,France,149,121,270,2021-06-10
70 to 79,10/06/2021,France,58,44,102,2021-06-10
80 to 89,10/06/2021,France,40,24,65,2021-06-10
90+,10/06/2021,France,19,7,26,2021-06-10
0 to 9,11/06/2021,France,193,154,348,2021-06-11
10 to 19,11/06/2021,France,362,375,748,2021-06-11
20 to 29,11/06/2021,France,395,382,781,2021-06-11
30 to 39,11/06/2021,France,336,271,610,2021-06-11
40 to 49,11/06/2021,France,299,280,579,2021-06-11
50  to 59,11/06/2021,France,225,185,413,2021-06-11
60 to 69,11/06/2021,France,128,111,239,2021-06-11
70 to 79,11/06/2021,France,66,63,129,2021-06-11
