Date,Country,Cases,Pop
2021-05-07,Scotland,207,5517000
2021-05-08,Scotland,192,5517000
2021-05-09,Scotland,213,5517000
2021-05-10,Scotland,336,5517000
2021-05-11,Scotland,285,5517000
2021-05-12,Scotland,307,5517000
2021-05-13,Scotland,326,5517000
2021-05-14,Scotland,299,5517000
2021-05-15,Scotland,234,5517000
2021-05-16,Scotland,231,5517000
2021-05-17,Scotland,372,5517000
2021-05-18,Scotland,427,5517000
2021-05-19,Scotland,414,5517000
2021-05-20,Scotland,391,5517000
2021-05-21,Scotland,370,5517000
2021-05-22,Scotland,298,5517000
2021-05-23,Scotland,338,5517000
2021-05-24,Scotland,506,5517000
2021-05-25,Scotland,510,5517000
2021-05-26,Scotland,638,5517000
2021-05-27,Scotland,571,5517000
2021-05-28,Scotland,559,5517000
2021-05-29,Scotland,453,5517000
2021-05-30,Scotland,502,5517000
2021-05-31,Scotland,611,5517000
2021-06-01,Scotland,789,5517000
2021-06-02,Scotland,983,5517000
2021-06-03,Scotland,968,5517000
2021-06-04,Scotland,833,5517000
2021-06-05,Scotland,619,5517000
2021-06-06,Scotland,698,5517000
2021-06-07,Scotland,976,5517000
2021-06-08,Scotland,1039,5517000
2021-06-09,Scotland,1094,5517000
2021-06-10,Scotland,1070,5517000
2021-06-11,Scotland,898,5517000
2021-06-12,Scotland,726,5517000
2021-06-13,Scotland,875,5517000
2021-06-14,Scotland,1156,5517000
2021-06-15,Scotland,1308,5517000
2021-06-16,Scotland,1288,5517000
2021-06-17,Scotland,1184,5517000
2021-06-18,Scotland,1261,5517000
2021-06-19,Scotland,1014,5517000
2021-06-20,Scotland,1574,5517000
2021-06-21,Scotland,3071,5517000
2021-06-22,Scotland,3291,5517000
2021-06-23,Scotland,2937,5517000
2021-06-24,Scotland,3002,5517000
2021-06-25,Scotland,2678,5517000
2021-06-26,Scotland,2345,5517000
2021-06-27,Scotland,2556,5517000
2021-06-28,Scotland,3995,5517000
2021-06-29,Scotland,3952,5517000
2021-06-30,Scotland,4005,5517000
2021-07-01,Scotland,3502,5517000
2021-07-02,Scotland,3157,5517000
2021-07-03,Scotland,2580,5517000
2021-07-04,Scotland,2494,5517000
2021-07-05,Scotland,3486,5517000
2021-07-06,Scotland,3171,5517000
2021-07-07,Scotland,2968,5517000
2021-07-08,Scotland,2815,5517000
2021-07-09,Scotland,2449,5517000
2021-07-10,Scotland,1859,5517000
2021-07-11,Scotland,1947,5517000
2021-07-12,Scotland,2667,5517000
2021-07-13,Scotland,2505,5517000
2021-07-14,Scotland,2281,5517000
2021-07-15,Scotland,2015,5517000
2021-07-16,Scotland,1803,5517000
2021-07-17,Scotland,1439,5517000
2021-07-18,Scotland,1426,5517000
2021-07-19,Scotland,1973,5517000
2021-07-20,Scotland,1649,5517000
2021-07-21,Scotland,1638,5517000
2021-07-22,Scotland,1424,5517000
2021-07-23,Scotland,1322,5517000
2021-07-24,Scotland,991,5517000
2021-07-25,Scotland,981,5517000
2021-07-26,Scotland,1430,5517000
2021-07-27,Scotland,1406,5517000
2021-07-28,Scotland,1320,5517000
2021-07-29,Scotland,1216,5517000
2021-07-30,Scotland,1072,5517000
2021-07-31,Scotland,797,5517000
2021-08-01,Scotland,899,5517000
2021-08-02,Scotland,1370,5517000
2021-08-03,Scotland,1402,5517000
2021-08-04,Scotland,1339,5517000
2021-08-05,Scotland,1375,5517000
2021-08-06,Scotland,1295,5517000
2021-08-07,Scotland,969,5517000
2021-05-01,Austria,2231,8901064
2021-05-01,Belgium,1352,11522440
2021-05-01,Bulgaria,652,6951482
2021-05-01,Croatia,2007,4058165
2021-05-01,Cyprus,676,888005
2021-05-01,Czechia,2167,10693939
2021-05-01,Denmark,874,5822763
2021-05-01,Estonia,431,1328976
2021-05-01,Finland,195,5525292
2021-05-01,France,22670,67320216
2021-05-01,Germany,18935,83166711
2021-05-01,Greece,2125,10718565
2021-05-01,Hungary,1951,9769526
2021-05-01,Iceland,6,364134
2021-05-01,Ireland,544,4964440
2021-05-01,Italy,13445,59641488
2021-05-01,Latvia,763,1907675
2021-05-01,Liechtenstein,10,38747
2021-05-01,Lithuania,1373,2794090
2021-05-01,Luxembourg,160,626108
2021-05-01,Malta,15,514564
2021-05-01,Netherlands,7764,17407585
2021-05-01,Norway,385,5367580
2021-05-01,Poland,6789,37958138
2021-05-01,Portugal,460,10295909
2021-05-01,Romania,1636,19328838
2021-05-01,Slovakia,1016,5457873
2021-05-01,Slovenia,949,2095861
2021-05-01,Spain,0,47332614
2021-05-01,Sweden,4753,10327589
2021-06-01,Austria,152,8901064
2021-06-01,Belgium,1694,11522440
2021-06-01,Bulgaria,303,6951482
2021-06-01,Croatia,40,4058165
2021-06-01,Cyprus,50,888005
2021-06-01,Czechia,513,10693939
2021-06-01,Denmark,844,5822763
2021-06-01,Estonia,131,1328976
2021-06-01,Finland,56,5525292
2021-06-01,France,1211,67320216
2021-06-01,Germany,1785,83166711
2021-06-01,Greece,1005,10718565
2021-06-01,Hungary,174,9769526
2021-06-01,Iceland,10,364134
2021-06-01,Ireland,367,4964440
2021-06-01,Italy,1818,59641488
2021-06-01,Latvia,101,1907675
2021-06-01,Liechtenstein,0,38747
2021-06-01,Lithuania,393,2794090
2021-06-01,Luxembourg,43,626108
2021-06-01,Malta,8,514564
2021-06-01,Netherlands,2020,17407585
2021-06-01,Norway,751,5367580
2021-06-01,Poland,333,37958138
2021-06-01,Portugal,435,10295909
2021-06-01,Romania,153,19328838
2021-06-01,Slovakia,258,5457873
2021-06-01,Slovenia,91,2095861
2021-06-01,Spain,4388,47332614
2021-06-01,Sweden,2789,10327589
2021-07-01,Austria,36,8901064
2021-07-01,Belgium,674,11522440
2021-07-01,Bulgaria,78,6951482
2021-07-01,Croatia,136,4058165
2021-07-01,Cyprus,429,888005
2021-07-01,Czechia,136,10693939
2021-07-01,Denmark,340,5822763
2021-07-01,Estonia,21,1328976
2021-07-01,Finland,355,5525292
2021-07-01,France,2457,67320216
2021-07-01,Germany,892,83166711
2021-07-01,Greece,627,10718565
2021-07-01,Hungary,32,9769526
2021-07-01,Iceland,0,364134
2021-07-01,Ireland,452,4964440
2021-07-01,Italy,776,59641488
2021-07-01,Latvia,100,1907675
2021-07-01,Liechtenstein,3,38747
2021-07-01,Lithuania,40,2794090
2021-07-01,Luxembourg,92,626108
2021-07-01,Malta,4,514564
2021-07-01,Netherlands,640,17407585
2021-07-01,Norway,224,5367580
2021-07-01,Poland,101,37958138
2021-07-01,Portugal,2362,10295909
2021-07-01,Romania,52,19328838
2021-07-01,Slovakia,28,5457873
2021-07-01,Slovenia,24,2095861
2021-07-01,Spain,12345,47332614
2021-07-01,Sweden,284,10327589
2021-08-01,Austria,593,8901064
2021-08-01,Belgium,1054,11522440
2021-08-01,Bulgaria,182,6951482
2021-08-01,Croatia,218,4058165
2021-08-01,Cyprus,527,888005
2021-08-01,Czechia,116,10693939
2021-08-01,Denmark,739,5822763
2021-08-01,Estonia,128,1328976
2021-08-01,Finland,794,5525292
2021-08-01,France,23471,67320216
2021-08-01,Germany,2097,83166711
2021-08-01,Greece,2752,10718565
2021-08-01,Hungary,0,9769526
